# OMIM genemap2 (reconstructed from HPO annotations) — 2026-03-26
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
						ANGPT1		ANGPT1				Gene-disease association, 619361 (3), Autosomal dominant	
						ANGPT2		ANGPT2				Gene-disease association, 619369 (3), Autosomal dominant	
						ANGPTL3		ANGPTL3				Gene-disease association, 605019 (3), Autosomal recessive	
						ANK1		ANK1				Gene-disease association, 182900 (3), Autosomal recessive	
						ANK2		ANK2				Gene-disease association, 600919 (3), Autosomal dominant	
						ANK3		ANK3				Gene-disease association, 615493 (3), Autosomal recessive	
						ANKH		ANKH				Gene-disease association, 118600 (3), Autosomal dominant; Gene-disease association, 123000 (3), Autosomal dominant	
						ANKLE2		ANKLE2				Gene-disease association, 616681 (3), Autosomal recessive	
						ANKRD11		ANKRD11				Gene-disease association, 148050 (3), Autosomal dominant	
						ANKRD17		ANKRD17				Gene-disease association, 619504 (3), Autosomal dominant	
						ANKRD26		ANKRD26				Gene-disease association, 188000 (3), Autosomal dominant	
						ANKS6		ANKS6				Gene-disease association, 615382 (3), Autosomal recessive	
						ANLN		ANLN				Gene-disease association, 616032 (3), Autosomal dominant	
						ANO1		ANO1				Gene-disease association, 620045 (3), Autosomal recessive; Gene-disease association, 620687 (3), Autosomal recessive	
						ANO10		ANO10				Gene-disease association, 613728 (3), Autosomal recessive	
						ANO3		ANO3				Gene-disease association, 615034 (3), Autosomal dominant	
						ANO5		ANO5				Gene-disease association, 166260 (3), Autosomal dominant; Gene-disease association, 611307 (3), Autosomal recessive; Gene-disease association, 613319 (3), Autosomal recessive	
						ANO6		ANO6				Gene-disease association, 262890 (3), Autosomal recessive	
						ANOS1		ANOS1				Gene-disease association, 146110 (3), Autosomal recessive; Gene-disease association, 308700 (3), Unknown	
						ANTXR1		ANTXR1				Gene-disease association, 230740 (3), Autosomal recessive; Gene-disease association, 602089 (3), Autosomal dominant	
						ANTXR2		ANTXR2				Gene-disease association, 228600 (3), Autosomal recessive	
						ANXA11		ANXA11				Gene-disease association, 617839 (3), Autosomal dominant; Gene-disease association, 619733 (3), Autosomal dominant	
						ANXA5		ANXA5				Gene-disease association, 614391 (3), Autosomal dominant	
						AOPEP		AOPEP				Gene-disease association, 619565 (3), Autosomal recessive	
						AP1B1		AP1B1				Gene-disease association, 242150 (3), Autosomal recessive	
						AP1G1		AP1G1				Gene-disease association, 619467 (3), Autosomal dominant; Gene-disease association, 619548 (3), Autosomal recessive	
						AP1S1		AP1S1				Gene-disease association, 609313 (3), Autosomal recessive	
						AP1S2		AP1S2				Gene-disease association, 304340 (3), Unknown	
						AP1S3		AP1S3				Gene-disease association, 616106 (3), Autosomal dominant	
						AP2M1		AP2M1				Gene-disease association, 618587 (3), Autosomal dominant	
						AP2S1		AP2S1				Gene-disease association, 600740 (3), Autosomal dominant	
						AP3B1		AP3B1				Gene-disease association, 608233 (3), Autosomal recessive	
						AP3B2		AP3B2				Gene-disease association, 617276 (3), Autosomal recessive	
						AP3D1		AP3D1				Gene-disease association, 617050 (3), Autosomal recessive	
						AP4B1		AP4B1				Gene-disease association, 614066 (3), Autosomal recessive	
						AP4E1		AP4E1				Gene-disease association, 184450 (3), Autosomal dominant; Gene-disease association, 613744 (3), Autosomal recessive	
						AP4M1		AP4M1				Gene-disease association, 612936 (3), Autosomal recessive	
						AP4S1		AP4S1				Gene-disease association, 614067 (3), Autosomal recessive	
						AP5Z1		AP5Z1				Gene-disease association, 613647 (3), Autosomal recessive	
						APC		APC				Gene-disease association, 114500 (3), Autosomal dominant; Gene-disease association, 114550 (3), Unknown; Gene-disease association, 135290 (3), Autosomal dominant; Gene-disease association, 175100 (3), Autosomal dominant; Gene-disease association, 613659 (3), Unknown; Gene-disease association, 619182 (3), Autosomal dominant	
						APC2		APC2				Gene-disease association, 617169 (3), Autosomal recessive; Gene-disease association, 618677 (3), Autosomal recessive	
						APCDD1		APCDD1				Gene-disease association, 605389 (3), Autosomal dominant	
						APOA1		APOA1				Gene-disease association, 618463 (3), Autosomal recessive; Gene-disease association, 619836 (3), Autosomal dominant; Gene-disease association, 620657 (3), Autosomal dominant	
						APOA2		APOA2				Gene-disease association, 143890 (3), Autosomal recessive; Gene-disease association, 621417 (3), Autosomal recessive	
						APOA4		APOA4				Gene-disease association, 621106 (3), Autosomal dominant	
						APOA5		APOA5				Gene-disease association, 144650 (3), Autosomal dominant; Gene-disease association, 145750 (3), Autosomal dominant	
						APOB		APOB				Gene-disease association, 144010 (3), Autosomal dominant; Gene-disease association, 615558 (3), Autosomal recessive	
						APOC2		APOC2				Gene-disease association, 207750 (3), Autosomal recessive	
						APOC3		APOC3				Gene-disease association, 614028 (3), Unknown	
						APOE		APOE				Gene-disease association, 104310 (3), Autosomal dominant; Gene-disease association, 269600 (3), Autosomal recessive; Gene-disease association, 603075 (3), Autosomal dominant; Gene-disease association, 606889 (3), Autosomal dominant; Gene-disease association, 607822 (3), Autosomal dominant; Gene-disease association, 611771 (3), Unknown	
						APOL1		APOL1				Gene-disease association, 612551 (3), Unknown	
